"Merluza, filé, assado","121.91","510.07","26.6","0","0.92","90.97","0"
"Merluza, filé, cru","89.13","372.92","16.61","0","2.02","57.18","0"
"Merluza, filé, frito","191.63","801.77","26.93","0","8.5","109.1","0"
"Pescada, branca, crua","110.88","463.91","16.26","0","4.59","50.77","0"
"Pescada, branca, frita","223.04","933.2","27.36","0","11.78","165.44","0"
"Pescada, filé, com farinha de trigo, frito","283.43","1185.85","21.44","5.03","19.12","72.97","0"
"Pescada, filé, cru","107.21","448.55","16.65","0","4","64.84","0"
"Pescada, filé, frito","154.27","645.47","28.59","0","3.57","80.81","0"
"Pescada, filé, molho escabeche","141.96","593.95","11.75","5.02","8.02","43.4","0.78"
"Pescadinha, crua","76.41","319.69","15.48","0","1.14","83.61","0"
"Pintado, assado","191.56","801.48","36.45","0","3.98","125.96","0"
"Pintado, cru","91.08","381.09","18.56","0","1.31","50.3","0"
"Pintado, grelhado","152.19","636.76","30.8","0","2.29","99.3","0"
"Porquinho, cru","93.02","389.21","20.49","0","0.61","48.61","0"
"Salmão, filé, com pele, fresco,  grelhado","228.73","957.01","23.92","0","14.04","85.31","0"
"Salmão, sem pele, fresco, cru","169.78","710.37","19.25","0","9.71","53.03","0"
"Salmão, sem pele, fresco, grelhado","242.71","1015.48","26.14","0","14.53","72.82","0"
"Sardinha, assada","164.35","687.64","32.18","0","2.99","108.99","0"
"Sardinha, conserva em óleo","284.98","1192.36","15.94","0","24.05","72.57","0"
"Sardinha, frita","257.04","1075.46","33.38","0","12.69","102.87","0"
"Sardinha, inteira, crua","113.9","476.56","21.08","0","2.65","60.5","0"
"Tucunaré, filé, congelado, cru","87.69","366.88","17.96","-0.05","1.22","46.9","0"
"Apresuntado","128.86","539.14","13.45","2.86","6.69","37.67","0"
"Caldo de carne, tablete","240.62","1006.77","7.82","15.05","16.57","0","0.58"
"Caldo de galinha, tablete","251.45","1052.05","6.28","10.65","20.42","2.11","11.81"
"Carne, bovina, acém, moído, cozido","212.42","888.77","26.69","0","10.92","103.13","0"
"Carne, bovina, acém, moído, cru","136.56","571.38","19.42","0","5.95","57.94","0"
"Carne, bovina, acém, sem gordura, cozido","214.61","897.93","27.27","0","10.88","106.75","0"
"Carne, bovina, acém, sem gordura, cru","144.03","602.62","20.82","0","6.11","53.37","0"
"Carne, bovina, almôndegas, cruas","189.26","791.85","12.31","9.79","11.2","33.6","0"
"Carne, bovina, almôndegas, fritas","271.81","1137.27","18.16","14.29","15.78","36.38","0"
"Carne, bovina, bucho, cozido","133.02","556.57","21.64","0","4.5","245.47","0"
"Carne, bovina, bucho, cru","137.3","574.48","20.53","0","5.5","144.9","0"
"Carne, bovina, capa de contra-filé, com gordura, crua","216.91","907.55","19.2","0","14.96","62.81","0"
"Carne, bovina, capa de contra-filé, com gordura, grelhada","311.7","1304.16","30.69","0","20.03","120.43","0"
"Carne, bovina, capa de contra-filé, sem gordura, crua","131.06","548.37","21.54","0","4.33","58.35","0"
"Carne, bovina, capa de contra-filé, sem gordura, grelhada","239.44","1001.83","35.06","-0.01","9.95","80.29","0"
"Carne, bovina, charque, cozido","262.78","1099.47","36.36","0","11.92","113.43","0"
"Carne, bovina, charque, cru","248.86","1041.23","22.71","0","16.84","80.69","0"
"Carne, bovina, contra-filé, à milanesa","351.59","1471.06","20.61","12.17","24","99.36","0.37"
"Carne, bovina, contra-filé de costela, cru","202.44","847","19.8","0","13.07","52.31","0"
"Carne, bovina, contra-filé de costela, grelhado","274.91","1150.24","29.88","0","16.33","97.87","0"
"Carne, bovina, contra-filé, com gordura, cru","205.86","861.3","21.15","0","12.81","72.65","0"
"Carne, bovina, contra-filé, com gordura, grelhado","278.05","1163.38","32.4","0","15.49","143.86","0"
"Carne, bovina, contra-filé, sem gordura, cru","156.62","655.28","24","0","6","59.46","0"
"Carne, bovina, contra-filé, sem gordura, grelhado","193.69","810.41","35.88","0","4.49","101.9","0"
"Carne, bovina, costela, assada","373.04","1560.79","28.81","0","27.72","94.59","0"
